# schema_version=1
# Controlled revision identities assigned to logical documents.
document_logical_id	revision_id	revision_label
doc-002b22a718460a933d43	rev-77a8499f4c6d8de95f2c	registry-v1
doc-0cda83291cb435814962	rev-9f1e9ac4a657e08e8031	registry-v1
doc-108b53e5066cff95e7c1	rev-3963b2718bcd13696d84	registry-v1
doc-14fabb7edaea01607c23	rev-90ea2f09bcb1427c38cb	registry-v1
doc-19384e8ed62b11adf57f	rev-5dc835dfa3f0203fedb2	registry-v1
doc-1aa97c7b48e3f06094c5	rev-c9fb8cdc4019ece820a2	registry-v1
doc-1b7cfada5c7d45e0fa42	rev-bf0968e7283caec5221f	registry-v1
doc-1e3002ed1b7f789d658e	rev-91891d77b350ce02c651	registry-v1
doc-1e3db6d63a7742cbbf28	rev-afc54e5e4f282beec4fb	registry-v1
doc-1f4f7c6029b5405bd892	rev-887a1132ca4d6f3e54f0	registry-v1
doc-21f4a5ce091f35589202	rev-6b562209266969c3fd60	registry-v1
doc-24b25833ab82e212d1fb	rev-4c1c24a74e4b364652e3	registry-v1
doc-263381d49aa5077b5b88	rev-21bca4388633e8d99b7d	registry-v1
doc-28be8d7b620a3276e5ed	rev-03cad557125d330c85b4	registry-v1
doc-2d76f424651ef5c9125d	rev-379f7a0f091999246dad	registry-v1
doc-2e377191401c90f46b75	rev-d993532d34aceea9e203	registry-v1
doc-2e6846eb4bb57309a4ee	rev-a2a1d7444e558b2a813a	registry-v1
doc-304c9923536e97dfc496	rev-c30816cf14ae3d63e6c4	registry-v1
doc-3063e05c673d1be9d39f	rev-a8507c5f2b6fd24c84e0	registry-v1
doc-3ac99b69b7c700157d14	rev-5c741d0b24aa34c073ea	registry-v1
doc-416aeb405528d8d6936d	rev-0488cb2330fcccabe412	registry-v1
doc-420a1f74053932545010	rev-a4dac9420339bea31eef	registry-v1
doc-4921d826cc280411b4d6	rev-f319d718bd866fce74a7	registry-v1
doc-52a08ef4e4361819841c	rev-9897a0ea566e3f9bae5e	registry-v1
doc-58dd9a27234431e6fcc2	rev-19796afe7962a326436a	registry-v1
doc-64d7101432c7912e14e4	rev-b28aeaf413dfc015977b	registry-v1
doc-700fed24a6604b941758	rev-365d0563c6dc3f99a116	registry-v1
doc-72a95a9847412e6b9832	rev-28152354e458ab1f4d18	registry-v1
doc-7a1d2e663bf13813d7b7	rev-a6ea5862f790a65e1dbf	registry-v1
doc-7b73a8c7cb307c8fac4d	rev-4db0f2709c1087804c59	registry-v1
doc-86bf565b83bd94e6d164	rev-bf780aa3b86e446cc870	registry-v1
doc-9bd4b7750435ba4cd3bb	rev-52993bb173cd746569e8	registry-v1
doc-a177e1b74200b5375042	rev-1780def8f27fa9c2e5c4	registry-v1
doc-a1f2fbf6ee4b0277e46a	rev-be31e11d289998c918fa	registry-v1
doc-a4abd2c011bb4888fab5	rev-1f50d1bb32f95b292bec	registry-v1
doc-af7fa1738c5c89599e41	rev-c700c57426b967b2d2c9	registry-v1
doc-b0ee4b9e6c0265bfb5a8	rev-2d3b29c04060dd25fb0f	registry-v1
doc-c73ce7e613b07ccfdee1	rev-41e470e9d7b7922324bf	registry-v1
doc-d2df3499f525b0045d84	rev-23c6303237a7d53cf158	registry-v1
doc-d37e028eaf233766238f	rev-4def446ac5217b44d04d	registry-v1
doc-d52a47597bd38901451b	rev-2e2a53364be7fe28c39b	registry-v1
doc-d8941d2b344e903d4daa	rev-1dc8ffc2372f81fff672	registry-v1
doc-e904369e8e2bc7a3a8e0	rev-e8020f1a8dbe209c1a44	registry-v1
doc-ee7056bc95b312fcc488	rev-262fc8776d3984c281b1	registry-v1
